,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_pounds,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
20,16,Pidgey,1,Normal,NORMAL,Flying,0.3,3.968316,40,45,40,35,35,56,255.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,1,Normal,NORMAL,Flying,1.1,66.1386,63,60,55,50,50,71,120.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,1,Normal,NORMAL,Flying,1.5,87.08248999999999,83,80,75,70,70,101,45.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,PidgeotMega Pidgeot,1,Normal,NORMAL,Flying,2.2,111.33330999999998,83,80,80,135,80,121,45.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,1,Normal,NORMAL,,0.3,7.716169999999999,30,56,35,25,35,72,255.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,1,Normal,DARK,Normal,0.3,8.377555999999998,30,56,35,25,35,72,255.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,1,Normal,NORMAL,,0.7,40.78547,55,81,60,50,70,97,127.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,1,Normal,DARK,Normal,0.7,56.21780999999999,75,71,70,40,80,77,127.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,1,Normal,NORMAL,Flying,0.3,4.40924,40,60,30,31,31,70,255.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,1,Normal,NORMAL,Flying,1.2,83.77556,65,90,65,61,61,100,90.0,50.0%,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,1,Normal,POISON,,2.0,15.211878,35,60,44,40,54,55,255.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,1,Normal,POISON,,3.5,143.3003,60,95,69,65,79,80,90.0,50.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,1,Normal,ELECTRIC,,0.4,13.227719999999998,35,55,40,50,50,90,190.0,50.0%,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,Partner Pikachu,1,Normal,ELECTRIC,,0.4,13.227719999999998,45,80,50,75,60,120,190.0,50.0%,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,1,Normal,ELECTRIC,,0.8,66.1386,60,90,55,90,80,110,75.0,50.0%,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,1,Normal,ELECTRIC,Psychic,0.7,46.29702,60,85,50,95,85,110,75.0,50.0%,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,1,Normal,GROUND,,0.6,26.45544,50,75,85,20,30,40,255.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,1,Normal,ICE,Steel,0.7,88.1848,50,75,90,10,35,40,255.0,50.0%,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,1,Normal,GROUND,,1.0,65.03629,75,100,110,45,55,65,90.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,1,Normal,ICE,Steel,1.2,121.2541,75,100,120,25,65,65,90.0,50.0%,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,1,Normal,POISON,,0.4,15.432339999999998,55,47,52,40,40,41,235.0,0.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,1,Normal,POISON,,0.8,44.0924,70,62,67,55,55,56,120.0,0.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,1,Normal,POISON,Ground,1.3,132.2772,90,92,87,75,85,76,45.0,0.0%,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,1,Normal,POISON,,0.5,19.84158,46,57,40,40,40,50,235.0,100.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,1,Normal,POISON,,0.9,42.99009,61,72,57,55,55,65,120.0,100.0%,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,1,Normal,POISON,Ground,1.4,136.68643999999998,81,102,77,85,75,85,45.0,100.0%,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,1,Normal,FAIRY,,0.6,16.53465,70,45,48,60,65,35,150.0,25.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,1,Normal,FAIRY,,1.3,88.1848,95,70,73,95,90,60,25.0,25.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,1,Normal,FIRE,,0.6,21.825738,38,41,40,50,65,65,190.0,25.0%,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,1,Normal,ICE,,0.6,21.825738,38,41,40,50,65,65,190.0,25.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,1,Normal,FIRE,,1.1,43.87193799999999,73,76,75,81,100,100,75.0,25.0%,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,1,Normal,ICE,Fairy,1.1,43.87193799999999,73,67,75,81,100,109,75.0,25.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,NORMAL,Fairy,0.5,12.12541,115,45,20,45,25,20,170.0,25.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,NORMAL,Fairy,1.0,26.45544,140,70,45,85,50,45,50.0,25.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,POISON,Flying,0.8,16.53465,40,45,35,30,40,55,255.0,50.0%,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,POISON,Flying,1.6,121.2541,75,80,70,65,75,90,90.0,50.0%,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,GRASS,Poison,0.5,11.904948,45,50,55,75,65,30,255.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,GRASS,Poison,0.8,18.959732,60,65,70,85,75,40,120.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,GRASS,Poison,1.2,41.005932,75,80,85,110,90,50,45.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,BUG,Grass,0.3,11.904948,35,70,55,45,55,25,190.0,50.0%,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,BUG,Grass,1.0,65.03629,60,95,80,60,80,30,75.0,50.0%,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,BUG,Poison,1.0,66.1386,60,55,50,40,55,45,190.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,BUG,Poison,1.5,27.55775,70,65,60,90,75,90,75.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,GROUND,,0.2,1.763696,10,55,25,35,45,95,255.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,1,Normal,GROUND,Steel,0.2,2.20462,10,55,30,35,45,90,255.0,50.0%,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,1,Normal,GROUND,,0.7,73.41384599999999,35,100,50,50,70,120,50.0,50.0%,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,1,Normal,GROUND,Steel,0.7,146.82769199999998,35,100,60,50,70,110,50.0,50.0%,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,1,Normal,NORMAL,,0.4,9.259404,40,45,35,40,40,90,255.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,1,Normal,DARK,,0.4,9.259404,40,35,35,50,40,90,255.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,1,Normal,STEEL,,0.4,16.53465,50,65,55,40,40,40,,0.0%,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,1,Normal,NORMAL,,1.0,70.54784,65,70,60,65,65,115,90.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,1,Normal,DARK,,1.1,72.75246,65,60,60,75,65,115,90.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,1,Normal,WATER,,0.8,43.210552,50,52,48,65,50,55,190.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,1,Normal,WATER,,1.7,168.87389199999998,80,82,78,95,80,85,75.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,1,Normal,FIGHTING,,0.5,61.72935999999999,40,80,35,35,45,70,190.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,1,Normal,FIGHTING,,1.0,70.54784,65,105,60,60,70,95,75.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,1,Normal,FIRE,,0.7,41.88778,55,70,45,70,50,60,190.0,75.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,Arcanine,1,Normal,FIRE,,1.9,341.7161,90,110,80,100,80,95,75.0,75.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,1,Normal,WATER,,0.6,27.337288,40,50,40,40,40,90,255.0,50.0%,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,1,Normal,WATER,,1.0,44.0924,65,65,65,50,50,90,120.0,50.0%,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,1,Normal,WATER,Fighting,1.3,119.04948,90,95,95,70,90,70,45.0,50.0%,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,1,Normal,PSYCHIC,,0.9,42.99009,25,20,15,105,55,90,200.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,1,Normal,PSYCHIC,,1.3,124.56103,40,35,30,120,70,105,100.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,Alakazam,1,Normal,PSYCHIC,,1.5,105.82175999999998,55,50,45,135,95,120,50.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
84,65,AlakazamMega Alakazam,1,Normal,PSYCHIC,,1.2,105.82175999999998,55,50,65,175,105,150,50.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,Machop,1,Normal,FIGHTING,,0.8,42.99009,70,80,50,35,35,35,180.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,Machoke,1,Normal,FIGHTING,,1.5,155.42570999999998,80,100,70,50,60,45,90.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,Machamp,1,Normal,FIGHTING,,1.6,286.6006,90,130,80,65,85,55,45.0,75.0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,Bellsprout,1,Normal,GRASS,Poison,0.7,8.81848,50,75,35,70,30,40,255.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
89,70,Weepinbell,1,Normal,GRASS,Poison,1.0,14.109568,65,90,50,85,45,55,120.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
90,71,Victreebel,1,Normal,GRASS,Poison,1.7,34.171609999999994,80,105,65,100,70,70,45.0,50.0%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
91,72,Tentacool,1,Normal,WATER,Poison,0.9,100.31021,40,40,35,50,100,70,190.0,50.0%,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
92,73,Tentacruel,1,Normal,WATER,Poison,1.6,121.2541,80,70,65,80,120,100,60.0,50.0%,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
93,74,Geodude,1,Normal,ROCK,Ground,0.4,44.0924,40,80,100,30,30,20,255.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
94,74,Alolan Geodude,1,Normal,ROCK,Electric,0.4,44.753786,40,80,100,30,30,20,255.0,50.0%,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,75,Graveler,1,Normal,ROCK,Ground,1.0,231.4851,55,95,115,45,45,35,120.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,75,Alolan Graveler,1,Normal,ROCK,Electric,1.0,242.5082,55,95,115,45,45,35,120.0,50.0%,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,76,Golem,1,Normal,ROCK,Ground,1.4,661.386,80,120,130,55,65,45,45.0,50.0%,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
98,76,Alolan Golem,1,Normal,ROCK,Electric,1.7,696.6599199999999,80,120,130,55,65,45,45.0,50.0%,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,77,Ponyta,1,Normal,FIRE,,1.0,66.1386,50,85,55,65,65,90,190.0,50.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
100,77,Galarian Ponyta,1,Normal,PSYCHIC,,0.8,52.91087999999999,50,85,55,65,65,90,,0.0%,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
101,78,Rapidash,1,Normal,FIRE,,1.7,209.4389,65,100,70,80,80,105,60.0,50.0%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
102,78,Galarian Rapidash,1,Normal,PSYCHIC,Fairy,1.7,176.3696,65,100,70,80,80,105,,0.0%,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
103,79,Slowpoke,1,Normal,WATER,Psychic,1.2,79.36631999999999,90,65,65,40,40,15,190.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
104,79,Galarian Slowpoke,8,Normal,PSYCHIC,,1.2,79.36631999999999,90,65,65,40,40,15,190.0,50.0%,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
105,80,Slowbro,1,Normal,WATER,Psychic,1.6,173.06267,95,75,110,100,80,30,75.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
106,80,SlowbroMega Slowbro,1,Normal,WATER,Psychic,2.0,264.5544,95,75,180,130,80,30,75.0,50.0%,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
